#GLoBES
#log10E	nue/E	numu/E	numtau/E	nuebar/E	numubar/E	nutaubar/E
-1	0.0043457978	0.0043457978	0	0.0024532499	0.0024532499	0
-0.996	0.0055447407	0.0055447407	0	0.003577883	0.003577883	0
-0.992	0.0067547772	0.0067547772	0	0.0047129222	0.0047129222	0
-0.988	0.0079760101	0.0079760101	0	0.0058584638	0.0058584638	0
-0.984	0.0092085429	0.0092085429	0	0.0070146049	0.0070146049	0
-0.98	0.0104524802	0.0104524802	0	0.0081814437	0.0081814437	0
-0.976	0.0117079275	0.0117079275	0	0.0093590791	0.0093590791	0
-0.972	0.0129749913	0.0129749913	0	0.010547611	0.010547611	0
-0.968	0.0142537791	0.0142537791	0	0.0117471403	0.0117471403	0
-0.964	0.0155443994	0.0155443994	0	0.0129577687	0.0129577687	0
-0.96	0.0168469616	0.0168469616	0	0.0141795989	0.0141795989	0
-0.956	0.0181615763	0.0181615763	0	0.0154127346	0.0154127346	0
-0.952	0.019488355	0.019488355	0	0.0166572803	0.0166572803	0
-0.948	0.0208274103	0.0208274103	0	0.0179133417	0.0179133417	0
-0.944	0.0221788556	0.0221788556	0	0.0191810252	0.0191810252	0
-0.94	0.0235428057	0.0235428057	0	0.0204604385	0.0204604385	0
-0.936	0.0249193763	0.0249193763	0	0.0217516901	0.0217516901	0
-0.932	0.0263086841	0.0263086841	0	0.0230548894	0.0230548894	0
-0.928	0.0277108471	0.0277108471	0	0.0243701471	0.0243701471	0
-0.924	0.0291259841	0.0291259841	0	0.0256975748	0.0256975748	0
-0.92	0.0305542152	0.0305542152	0	0.0270372849	0.0270372849	0
-0.916	0.0319956616	0.0319956616	0	0.0283893913	0.0283893913	0
-0.912	0.0334504455	0.0334504455	0	0.0297540085	0.0297540085	0
-0.908	0.0349186903	0.0349186903	0	0.0311312524	0.0311312524	0
-0.904	0.0364005207	0.0364005207	0	0.0325212398	0.0325212398	0
-0.9	0.0378960622	0.0378960622	0	0.0339240886	0.0339240886	0
-0.896	0.0394054419	0.0394054419	0	0.0353399178	0.0353399178	0
-0.892	0.0409287876	0.0409287876	0	0.0367688474	0.0367688474	0
-0.888	0.0424662287	0.0424662287	0	0.0382109988	0.0382109988	0
-0.884	0.0440178956	0.0440178956	0	0.0396664943	0.0396664943	0
-0.88	0.0455839199	0.0455839199	0	0.0411354573	0.0411354573	0
-0.876	0.0471644344	0.0471644344	0	0.0426180124	0.0426180124	0
-0.872	0.0487595732	0.0487595732	0	0.0441142855	0.0441142855	0
-0.868	0.0503694717	0.0503694717	0	0.0456244034	0.0456244034	0
-0.864	0.0519942663	0.0519942663	0	0.0471484942	0.0471484942	0
-0.86	0.0536340951	0.0536340951	0	0.0486866873	0.0486866873	0
-0.856	0.0552890969	0.0552890969	0	0.0502391131	0.0502391131	0
-0.852	0.0569594123	0.0569594123	0	0.0518059034	0.0518059034	0
-0.848	0.058645183	0.058645183	0	0.0533871909	0.0533871909	0
-0.844	0.0603465519	0.0603465519	0	0.05498311	0.05498311	0
-0.84	0.0620636633	0.0620636633	0	0.0565937959	0.0565937959	0
-0.836	0.063796663	0.063796663	0	0.057840253	0.057840253	0
-0.832	0.065545698	0.065545698	0	0.0589314446	0.0589314446	0
-0.828	0.0673109165	0.0673109165	0	0.0600327329	0.0600327329	0
-0.824	0.0691193138	0.0691193138	0	0.0611442113	0.0611442113	0
-0.82	0.0729327487	0.0729327487	0	0.0622659741	0.0622659741	0
-0.816	0.0767814688	0.0767814688	0	0.0633981164	0.0633981164	0
-0.812	0.0806658007	0.0806658007	0	0.0645407343	0.0645407343	0
-0.808	0.0845860739	0.0845860739	0	0.0656939247	0.0656939247	0
-0.804	0.0885426209	0.0885426209	0	0.0668577855	0.0668577855	0
-0.8	0.0925357774	0.0925357774	0	0.0680324153	0.0680324153	0
-0.796	0.0965658821	0.0965658821	0	0.0692179139	0.0692179139	0
-0.792	0.1006332769	0.1006332769	0	0.0704143817	0.0704143817	0
-0.788	0.1047383069	0.1047383069	0	0.0716219203	0.0716219203	0
-0.784	0.1088813202	0.1088813202	0	0.0728406321	0.0728406321	0
-0.78	0.1130626684	0.1130626684	0	0.0740706205	0.0740706205	0
-0.776	0.1172827061	0.1172827061	0	0.0753119899	0.0753119899	0
-0.772	0.1215417913	0.1215417913	0	0.0765648455	0.0765648455	0
-0.768	0.1258402853	0.1258402853	0	0.0778292937	0.0778292937	0
-0.764	0.1301785529	0.1301785529	0	0.0791054416	0.0791054416	0
-0.76	0.1345569619	0.1345569619	0	0.0803933976	0.0803933976	0
-0.756	0.1389758839	0.1389758839	0	0.0816932709	0.0816932709	0
-0.752	0.1434356936	0.1434356936	0	0.0830051718	0.0830051718	0
-0.748	0.1479367694	0.1479367694	0	0.0843292115	0.0843292115	0
-0.744	0.1524794932	0.1524794932	0	0.0856655025	0.0856655025	0
-0.74	0.1570642503	0.1570642503	0	0.087014158	0.087014158	0
-0.736	0.1616914296	0.1616914296	0	0.0883752924	0.0883752924	0
-0.732	0.1663614237	0.1663614237	0	0.0897490213	0.0897490213	0
-0.728	0.1710746287	0.1710746287	0	0.0911354611	0.0911354611	0
-0.724	0.1758314445	0.1758314445	0	0.0925347295	0.0925347295	0
-0.72	0.1806322745	0.1806322745	0	0.0937935103	0.0937935103	0
-0.716	0.1854775261	0.1854775261	0	0.0948000761	0.0948000761	0
-0.712	0.1903676102	0.1903676102	0	0.0958159555	0.0958159555	0
-0.708	0.1953029418	0.1953029418	0	0.0968412348	0.0968412348	0
-0.704	0.2002839393	0.2002839393	0	0.0978760009	0.0978760009	0
-0.7	0.2053110255	0.2053110255	0	0.0989203415	0.0989203415	0
-0.696	0.2110129632	0.2110129632	0	0.0999743453	0.0999743453	0
-0.692	0.2169286366	0.2169286366	0	0.1010381016	0.1010381016	0
-0.688	0.222899047	0.222899047	0	0.1021117008	0.1021117008	0
-0.684	0.2289247009	0.2289247009	0	0.1031952339	0.1031952339	0
-0.68	0.2350061095	0.2350061095	0	0.1042887928	0.1042887928	0
-0.676	0.2411437886	0.2411437886	0	0.1053924702	0.1053924702	0
-0.672	0.2473382591	0.2473382591	0	0.1065063599	0.1065063599	0
-0.668	0.2535900462	0.2535900462	0	0.1076305563	0.1076305563	0
-0.664	0.2598996805	0.2598996805	0	0.1087651547	0.1087651547	0
-0.66	0.266267697	0.266267697	0	0.1099102514	0.1099102514	0
-0.656	0.2726946361	0.2726946361	0	0.1110659436	0.1110659436	0
-0.652	0.2791810429	0.2791810429	0	0.1122323292	0.1122323292	0
-0.648	0.2857274677	0.2857274677	0	0.1134095073	0.1134095073	0
-0.644	0.2923344659	0.2923344659	0	0.1145975777	0.1145975777	0
-0.64	0.2990025978	0.2990025978	0	0.1157966412	0.1157966412	0
-0.636	0.3057324292	0.3057324292	0	0.1170067995	0.1170067995	0
-0.632	0.3125245309	0.3125245309	0	0.1182281552	0.1182281552	0
-0.628	0.3193794792	0.3193794792	0	0.1193691305	0.1193691305	0
-0.624	0.3262978556	0.3262978556	0	0.120308147	0.120308147	0
-0.62	0.3332802469	0.3332802469	0	0.1212558521	0.1212558521	0
-0.616	0.3403272455	0.3403272455	0	0.1222123262	0.1222123262	0
-0.612	0.3474394491	0.3474394491	0	0.1231776504	0.1231776504	0
-0.608	0.3546174612	0.3546174612	0	0.1241519067	0.1241519067	0
-0.604	0.3618618906	0.3618618906	0	0.1251351777	0.1251351777	0
-0.6	0.3680879322	0.3680879322	0	0.1261275468	0.1261275468	0
-0.596	0.373582485	0.373582485	0	0.1271290982	0.1271290982	0
-0.592	0.3791278784	0.3791278784	0	0.1281399167	0.1281399167	0
-0.588	0.3847245826	0.3847245826	0	0.1291600883	0.1291600883	0
-0.584	0.3903730725	0.3903730725	0	0.1301896994	0.1301896994	0
-0.58	0.3960738272	0.3960738272	0	0.1312288374	0.1312288374	0
-0.576	0.4018273304	0.4018273304	0	0.1322775904	0.1322775904	0
-0.572	0.4076340701	0.4076340701	0	0.1333360475	0.1333360475	0
-0.568	0.4134945389	0.4134945389	0	0.1344042982	0.1344042982	0
-0.564	0.4194092339	0.4194092339	0	0.1354824334	0.1354824334	0
-0.56	0.4253786569	0.4253786569	0	0.1365705445	0.1365705445	0
-0.556	0.4314033143	0.4314033143	0	0.1376687237	0.1376687237	0
-0.552	0.4374837172	0.4374837172	0	0.1386999908	0.1386999908	0
-0.548	0.4436203814	0.4436203814	0	0.1395494451	0.1395494451	0
-0.544	0.4498138274	0.4498138274	0	0.1404067593	0.1404067593	0
-0.54	0.4560645806	0.4560645806	0	0.1412720062	0.1412720062	0
-0.536	0.4623731714	0.4623731714	0	0.1421452591	0.1421452591	0
-0.532	0.4687401349	0.4687401349	0	0.1430265921	0.1430265921	0
-0.528	0.4751660111	0.4751660111	0	0.14391608	0.14391608	0
-0.524	0.4816513452	0.4816513452	0	0.1448137982	0.1448137982	0
-0.52	0.4859067552	0.4859067552	0	0.1457198229	0.1457198229	0
-0.516	0.4895977096	0.4895977096	0	0.146634231	0.146634231	0
-0.512	0.4933228159	0.4933228159	0	0.1475570999	0.1475570999	0
-0.508	0.4970823902	0.4970823902	0	0.1484885081	0.1484885081	0
-0.504	0.5008767515	0.5008767515	0	0.1494285344	0.1494285344	0
-0.5	0.5047062215	0.5047062215	0	0.1503772588	0.1503772588	0
-0.496	0.5085711252	0.5085711252	0	0.1513347615	0.1513347615	0
-0.492	0.5124717904	0.5124717904	0	0.152301124	0.152301124	0
-0.488	0.516408548	0.516408548	0	0.1532526456	0.1532526456	0
-0.484	0.5203817319	0.5203817319	0	0.1540248842	0.1540248842	0
-0.48	0.5243916793	0.5243916793	0	0.1548042683	0.1548042683	0
-0.476	0.5284387303	0.5284387303	0	0.1555908638	0.1555908638	0
-0.472	0.5325232282	0.5325232282	0	0.1563847377	0.1563847377	0
-0.468	0.5366455195	0.5366455195	0	0.1571859572	0.1571859572	0
-0.464	0.5408059538	0.5408059538	0	0.1579945903	0.1579945903	0
-0.46	0.5450048842	0.5450048842	0	0.1588107056	0.1588107056	0
-0.456	0.5491568154	0.5491568154	0	0.1596343722	0.1596343722	0
-0.452	0.552009454	0.552009454	0	0.1604656602	0.1604656602	0
-0.448	0.5548884879	0.5548884879	0	0.16130464	0.16130464	0
-0.444	0.557794161	0.557794161	0	0.1621513828	0.1621513828	0
-0.44	0.5607267201	0.5607267201	0	0.1630059604	0.1630059604	0
-0.436	0.5636864138	0.5636864138	0	0.1638684453	0.1638684453	0
-0.432	0.5666734932	0.5666734932	0	0.1647388133	0.1647388133	0
-0.428	0.5696882117	0.5696882117	0	0.1656147335	0.1656147335	0
-0.424	0.572730825	0.572730825	0	0.1664987585	0.1664987585	0
-0.42	0.5758015913	0.5758015913	0	0.1673909633	0.1673909633	0
-0.416	0.5789007711	0.5789007711	0	0.1682914236	0.1682914236	0
-0.412	0.5820286272	0.5820286272	0	0.1692002157	0.1692002157	0
-0.408	0.585185425	0.585185425	0	0.1701174167	0.1701174167	0
-0.404	0.5883714323	0.5883714323	0	0.1710431045	0.1710431045	0
-0.4	0.5915869193	0.5915869193	0	0.1719773576	0.1719773576	0
-0.396	0.5948326216	0.5948326216	0	0.1729202552	0.1729202552	0
-0.392	0.5981087118	0.5981087118	0	0.1738718774	0.1738718774	0
-0.388	0.6014151152	0.6014151152	0	0.1748323048	0.1748323048	0
-0.384	0.6047521125	0.6047521125	0	0.1758016189	0.1758016189	0
-0.38	0.6081199866	0.6081199866	0	0.1768080094	0.1768080094	0
-0.376	0.6115190232	0.6115190232	0	0.1778441946	0.1778441946	0
-0.372	0.6149495108	0.6149495108	0	0.1788899675	0.1788899675	0
-0.368	0.6184117402	0.6184117402	0	0.1799454168	0.1799454168	0
-0.364	0.6219060053	0.6219060053	0	0.181010632	0.181010632	0
-0.36	0.6254326024	0.6254326024	0	0.1820857035	0.1820857035	0
-0.356	0.6289918307	0.6289918307	0	0.1831707226	0.1831707226	0
-0.352	0.6325839921	0.6325839921	0	0.1842657812	0.1842657812	0
-0.348	0.6362093915	0.6362093915	0	0.1853709723	0.1853709723	0
-0.344	0.6390075742	0.6390075742	0	0.1864863896	0.1864863896	0
-0.34	0.6415896654	0.6415896654	0	0.1876121277	0.1876121277	0
-0.336	0.6441956484	0.6441956484	0	0.1886711342	0.1886711342	0
-0.332	0.6468257443	0.6468257443	0	0.1896260732	0.1896260732	0
-0.328	0.6494801761	0.6494801761	0	0.190589848	0.190589848	0
-0.324	0.6521591691	0.6521591691	0	0.1915625406	0.1915625406	0
-0.32	0.6548629505	0.6548629505	0	0.1925442334	0.1925442334	0
-0.316	0.6575917497	0.6575917497	0	0.1935350097	0.1935350097	0
-0.312	0.6603457981	0.6603457981	0	0.1945349535	0.1945349535	0
-0.308	0.6631253295	0.6631253295	0	0.1955441497	0.1955441497	0
-0.304	0.6659305795	0.6659305795	0	0.1965626839	0.1965626839	0
-0.3	0.6689270627	0.6689270627	0	0.1975906425	0.1975906425	0
-0.296	0.6722673555	0.6722673555	0	0.1986507059	0.1986507059	0
-0.292	0.6756385557	0.6756385557	0	0.1997807342	0.1997807342	0
-0.288	0.6790409492	0.6790409492	0	0.2009212186	0.2009212186	0
-0.284	0.6824748246	0.6824748246	0	0.2020722558	0.2020722558	0
-0.28	0.6859404733	0.6859404733	0	0.2032339433	0.2032339433	0
-0.276	0.6894381893	0.6894381893	0	0.2044063799	0.2044063799	0
-0.272	0.6929682692	0.6929682692	0	0.2055896648	0.2055896648	0
-0.268	0.6965310126	0.6965310126	0	0.2067838986	0.2067838986	0
-0.264	0.7001267216	0.7001267216	0	0.2079891824	0.2079891824	0
-0.26	0.7037557013	0.7037557013	0	0.2092040921	0.2092040921	0
-0.256	0.7064604927	0.7064604927	0	0.2102418697	0.2102418697	0
-0.252	0.7091885733	0.7091885733	0	0.2112892498	0.2112892498	0
-0.248	0.7119418965	0.7119418965	0	0.2123463212	0.2123463212	0
-0.244	0.7147206958	0.7147206958	0	0.2134131735	0.2134131735	0
-0.24	0.7175252071	0.7175252071	0	0.2144898973	0.2144898973	0
-0.236	0.7203556682	0.7203556682	0	0.2155765839	0.2155765839	0
-0.232	0.7232123193	0.7232123193	0	0.2166733255	0.2166733255	0
-0.228	0.7260954026	0.7260954026	0	0.2177802151	0.2177802151	0
-0.224	0.7290051627	0.7290051627	0	0.2188417505	0.2188417505	0
-0.22	0.7314339056	0.7314339056	0	0.2198504197	0.2198504197	0
-0.216	0.7334721529	0.7334721529	0	0.220868422	0.220868422	0
-0.212	0.7355292598	0.7355292598	0	0.2218958437	0.2218958437	0
-0.208	0.737605401	0.737605401	0	0.2229327721	0.2229327721	0
-0.204	0.7397007524	0.7397007524	0	0.223979295	0.223979295	0
-0.2	0.7418154919	0.7418154919	0	0.2250355013	0.2250355013	0
-0.196	0.7439497988	0.7439497988	0	0.2261014806	0.2261014806	0
-0.192	0.7461038542	0.7461038542	0	0.2271233108	0.2271233108	0
-0.188	0.7482778409	0.7482778409	0	0.228111412	0.228111412	0
-0.184	0.7498712595	0.7498712595	0	0.229108656	0.229108656	0
-0.18	0.7513840857	0.7513840857	0	0.2301151274	0.2301151274	0
-0.176	0.7529109098	0.7529109098	0	0.2311309116	0.2311309116	0
-0.172	0.7544518615	0.7544518615	0	0.2321560947	0.2321560947	0
-0.168	0.7560070714	0.7560070714	0	0.2331907637	0.2331907637	0
-0.164	0.7575766715	0.7575766715	0	0.2342094949	0.2342094949	0
-0.16	0.7591607949	0.7591607949	0	0.2351212377	0.2351212377	0
-0.156	0.7607595761	0.7607595761	0	0.2360414168	0.2360414168	0
-0.152	0.7619745385	0.7619745385	0	0.2369701102	0.2369701102	0
-0.148	0.7631119994	0.7631119994	0	0.2379073966	0.2379073966	0
-0.144	0.7642599852	0.7642599852	0	0.2388533557	0.2388533557	0
-0.14	0.7654185932	0.7654185932	0	0.2398080676	0.2398080676	0
-0.136	0.7665879216	0.7665879216	0	0.2407492166	0.2407492166	0
-0.132	0.7677680697	0.7677680697	0	0.2416392908	0.2416392908	0
-0.128	0.7689591376	0.7689591376	0	0.2425376006	0.2425376006	0
-0.124	0.7699974901	0.7699974901	0	0.2434442225	0.2434442225	0
-0.12	0.7707096957	0.7707096957	0	0.2443592332	0.2443592332	0
-0.116	0.7714284913	0.7714284913	0	0.2452827104	0.2452827104	0
-0.112	0.7721539379	0.7721539379	0	0.2462147324	0.2462147324	0
-0.108	0.7728860969	0.7728860969	0	0.2471189917	0.2471189917	0
-0.104	0.7736250305	0.7736250305	0	0.2480212894	0.2480212894	0
-0.1	0.7743708013	0.7743708013	0	0.248931936	0.248931936	0
-0.096	0.7750494653	0.7750494653	0	0.2498510087	0.2498510087	0
-0.092	0.7755782517	0.7755782517	0	0.2507785855	0.2507785855	0
-0.088	0.7761119309	0.7761119309	0	0.2517147451	0.2517147451	0
-0.084	0.7766505481	0.7766505481	0	0.2526215965	0.2526215965	0
-0.08	0.7771941491	0.7771941491	0	0.253516525	0.253516525	0
-0.076	0.77774278	0.77774278	0	0.2544197342	0.2544197342	0
-0.072	0.7782964873	0.7782964873	0	0.2553313007	0.2553313007	0
-0.068	0.7788018873	0.7788018873	0	0.2562513018	0.2562513018	0
-0.064	0.779293213	0.779293213	0	0.2571798156	0.2571798156	0
-0.06	0.7797890849	0.7797890849	0	0.2582492767	0.2582492767	0
-0.056	0.780289545	0.780289545	0	0.2593515998	0.2593515998	0
-0.052	0.7807946358	0.7807946358	0	0.2604641225	0.2604641225	0
-0.048	0.7813044002	0.7813044002	0	0.2615869392	0.2615869392	0
-0.044	0.7817723133	0.7817723133	0	0.2627201452	0.2627201452	0
-0.04	0.7822040452	0.7822040452	0	0.2638806501	0.2638806501	0
-0.036	0.7826397719	0.7826397719	0	0.2650836671	0.2650836671	0
-0.032	0.7830795303	0.7830795303	0	0.2662978154	0.2662978154	0
-0.028	0.7835233578	0.7835233578	0	0.2675231982	0.2675231982	0
-0.024	0.7839712919	0.7839712919	0	0.2687599193	0.2687599193	0
-0.02	0.7843806781	0.7843806781	0	0.2699993392	0.2699993392	0
-0.016	0.7847723708	0.7847723708	0	0.2711770767	0.2711770767	0
-0.012	0.7851676878	0.7851676878	0	0.2723657116	0.2723657116	0
-0.008	0.7855666626	0.7855666626	0	0.2735653449	0.2735653449	0
-0.004	0.7859693291	0.7859693291	0	0.2747760782	0.2747760782	0
0	0.7863518406	0.7863518406	0	0.2760052686	0.2760052686	0
0.004	0.7865164741	0.7865164741	0	0.277305635	0.277305635	0
0.008	0.7866826309	0.7866826309	0	0.2786180334	0.2786180334	0
0.012	0.7868503252	0.7868503252	0	0.2799425754	0.2799425754	0
0.016	0.7870195711	0.7870195711	0	0.2812793732	0.2812793732	0
0.02	0.787190383	0.787190383	0	0.2826184121	0.2826184121	0
0.024	0.7873305824	0.7873305824	0	0.2839491902	0.2839491902	0
0.028	0.7874640417	0.7874640417	0	0.2852922818	0.2852922818	0
0.032	0.7875987359	0.7875987359	0	0.2866478009	0.2866478009	0
0.036	0.7877346765	0.7877346765	0	0.2880158625	0.2880158625	0
0.04	0.7878718748	0.7878718748	0	0.2893981856	0.2893981856	0
0.044	0.7880783751	0.7880783751	0	0.2907938275	0.2907938275	0
0.048	0.7883094982	0.7883094982	0	0.2922023831	0.2922023831	0
0.052	0.7885427598	0.7885427598	0	0.2936239719	0.2936239719	0
0.056	0.7887781798	0.7887781798	0	0.295027882	0.295027882	0
0.06	0.7890157781	0.7890157781	0	0.296389978	0.296389978	0
0.064	0.7892586467	0.7892586467	0	0.2977646772	0.2977646772	0
0.068	0.7895040138	0.7895040138	0	0.2991520964	0.2991520964	0
0.072	0.7897516513	0.7897516513	0	0.3005433236	0.3005433236	0
0.076	0.7900015801	0.7900015801	0	0.3018916848	0.3018916848	0
0.08	0.7902498902	0.7902498902	0	0.3032525223	0.3032525223	0
0.084	0.7904914666	0.7904914666	0	0.3046259515	0.3046259515	0
0.088	0.7907352784	0.7907352784	0	0.3060051578	0.3060051578	0
0.092	0.7909813461	0.7909813461	0	0.3073134524	0.3073134524	0
0.096	0.7912296906	0.7912296906	0	0.3086338525	0.3086338525	0
0.1	0.7914593571	0.7914593571	0	0.3099664702	0.3099664702	0
0.104	0.7916880675	0.7916880675	0	0.3112977702	0.3112977702	0
0.108	0.791918894	0.791918894	0	0.3125695462	0.3125695462	0
0.112	0.7921518564	0.7921518564	0	0.3138530899	0.3138530899	0
0.116	0.7923826586	0.7923826586	0	0.3151485101	0.3151485101	0
0.12	0.7926128758	0.7926128758	0	0.3164288674	0.3164288674	0
0.124	0.7928452231	0.7928452231	0	0.3176767503	0.3176767503	0
0.128	0.7930797204	0.7930797204	0	0.3189361798	0.3189361798	0
0.132	0.7933199244	0.7933199244	0	0.3202072627	0.3202072627	0
0.136	0.793565669	0.793565669	0	0.3214392935	0.3214392935	0
0.14	0.7938136874	0.7938136874	0	0.3226635645	0.3226635645	0
0.144	0.7940640006	0.7940640006	0	0.3238991635	0.3238991635	0
0.148	0.7942843568	0.7942843568	0	0.3251291713	0.3251291713	0
0.152	0.7944821787	0.7944821787	0	0.3262990612	0.3262990612	0
0.156	0.7946818311	0.7946818311	0	0.3274797759	0.3274797759	0
0.16	0.7948833307	0.7948833307	0	0.3286714156	0.3286714156	0
0.164	0.7950307428	0.7950307428	0	0.3298077496	0.3298077496	0
0.168	0.7951616838	0.7951616838	0	0.3309347352	0.3309347352	0
0.172	0.7952938363	0.7952938363	0	0.3320721486	0.3320721486	0
0.176	0.7954213066	0.7954213066	0	0.3331831367	0.3331831367	0
0.18	0.7954803842	0.7954803842	0	0.3342594598	0.3342594598	0
0.184	0.7955400085	0.7955400085	0	0.3353457421	0.3353457421	0
0.188	0.7956001845	0.7956001845	0	0.3364102468	0.3364102468	0
0.192	0.7955945455	0.7955945455	0	0.3373791545	0.3373791545	0
0.196	0.795526982	0.795526982	0	0.3383570274	0.3383570274	0
0.2	0.7954587933	0.7954587933	0	0.3393381615	0.3393381615	0
0.204	0.7953929393	0.7953929393	0	0.3402792214	0.3402792214	0
0.208	0.795364968	0.795364968	0	0.3412289888	0.3412289888	0
0.212	0.7953367379	0.7953367379	0	0.3421869919	0.3421869919	0
0.216	0.7953082466	0.7953082466	0	0.3431460547	0.3431460547	0
0.22	0.7954265128	0.7954265128	0	0.3441139916	0.3441139916	0
0.224	0.7956002099	0.7956002099	0	0.3450870447	0.3450870447	0
0.228	0.7957755142	0.7957755142	0	0.3460378217	0.3460378217	0
0.232	0.7959474752	0.7959474752	0	0.3469973962	0.3469973962	0
0.236	0.7961158356	0.7961158356	0	0.3479555723	0.3479555723	0
0.24	0.7962857539	0.7962857539	0	0.3488883534	0.3488883534	0
0.244	0.7965051008	0.7965051008	0	0.3498297655	0.3498297655	0
0.248	0.796818606	0.796818606	0	0.350776463	0.350776463	0
0.252	0.797135012	0.797135012	0	0.3517273155	0.3517273155	0
0.256	0.7974594777	0.7974594777	0	0.352686966	0.352686966	0
0.26	0.7977999143	0.7977999143	0	0.3536228224	0.3536228224	0
0.264	0.7981435009	0.7981435009	0	0.3545528916	0.3545528916	0
0.268	0.7984938085	0.7984938085	0	0.3554905408	0.3554905408	0
0.272	0.7988552838	0.7988552838	0	0.356401376	0.356401376	0
0.276	0.7992201037	0.7992201037	0	0.3573206391	0.3573206391	0
0.28	0.7996104795	0.7996104795	0	0.3582376384	0.3582376384	0
0.284	0.8000359413	0.8000359413	0	0.3591485416	0.3591485416	0
0.288	0.8004653399	0.8004653399	0	0.3600678733	0.3600678733	0
0.292	0.8008858085	0.8008858085	0	0.360958574	0.360958574	0
0.296	0.8013013222	0.8013013222	0	0.3618526489	0.3618526489	0
