#GLoBES upto 10GeV
#log10E	nue/E	numu/E	numtau/E	nuebar/E	numubar/E	nutaubar/E
-1	0.1551836411	0.1551836411	0.1551836411	0.0204663633	0.0204663633	0.0204663633
-0.996	0.1563339935	0.1563339935	0.1563339935	0.0206473051	0.0206473051	0.0206473051
-0.992	0.15749499	0.15749499	0.15749499	0.020829921	0.020829921	0.020829921
-0.988	0.1586667291	0.1586667291	0.1586667291	0.0210142267	0.0210142267	0.0210142267
-0.984	0.1598493101	0.1598493101	0.1598493101	0.0212002378	0.0212002378	0.0212002378
-0.98	0.1610428334	0.1610428334	0.1610428334	0.02138797	0.02138797	0.02138797
-0.976	0.1622474002	0.1622474002	0.1622474002	0.0215774393	0.0215774393	0.0215774393
-0.972	0.1634631128	0.1634631128	0.1634631128	0.0217686617	0.0217686617	0.0217686617
-0.968	0.1646900742	0.1646900742	0.1646900742	0.0219616534	0.0219616534	0.0219616534
-0.964	0.1659283886	0.1659283886	0.1659283886	0.0221564309	0.0221564309	0.0221564309
-0.96	0.1671781609	0.1671781609	0.1671781609	0.0223530106	0.0223530106	0.0223530106
-0.956	0.1684394973	0.1684394973	0.1684394973	0.0225514093	0.0225514093	0.0225514093
-0.952	0.1697125046	0.1697125046	0.1697125046	0.0227516438	0.0227516438	0.0227516438
-0.948	0.1709972909	0.1709972909	0.1709972909	0.0229537309	0.0229537309	0.0229537309
-0.944	0.1722939652	0.1722939652	0.1722939652	0.023157688	0.023157688	0.023157688
-0.94	0.1736026375	0.1736026375	0.1736026375	0.0233635323	0.0233635323	0.0233635323
-0.936	0.1749234188	0.1749234188	0.1749234188	0.0235712812	0.0235712812	0.0235712812
-0.932	0.1762564211	0.1762564211	0.1762564211	0.0237809524	0.0237809524	0.0237809524
-0.928	0.1776017576	0.1776017576	0.1776017576	0.0239925636	0.0239925636	0.0239925636
-0.924	0.1789595423	0.1789595423	0.1789595423	0.0242061329	0.0242061329	0.0242061329
-0.92	0.1803298904	0.1803298904	0.1803298904	0.0244216783	0.0244216783	0.0244216783
-0.916	0.1817129182	0.1817129182	0.1817129182	0.0246392181	0.0246392181	0.0246392181
-0.912	0.183108743	0.183108743	0.183108743	0.0248587708	0.0248587708	0.0248587708
-0.908	0.1845174832	0.1845174832	0.1845174832	0.025080355	0.025080355	0.025080355
-0.904	0.1859392583	0.1859392583	0.1859392583	0.0253039895	0.0253039895	0.0253039895
-0.9	0.1873741889	0.1873741889	0.1873741889	0.0255296932	0.0255296932	0.0255296932
-0.896	0.1888223968	0.1888223968	0.1888223968	0.0257574854	0.0257574854	0.0257574854
-0.892	0.1902840048	0.1902840048	0.1902840048	0.0259873853	0.0259873853	0.0259873853
-0.888	0.1917591369	0.1917591369	0.1917591369	0.0262194124	0.0262194124	0.0262194124
-0.884	0.1932479182	0.1932479182	0.1932479182	0.0264535864	0.0264535864	0.0264535864
-0.88	0.194750475	0.194750475	0.194750475	0.0266899273	0.0266899273	0.0266899273
-0.876	0.1962669348	0.1962669348	0.1962669348	0.026928455	0.026928455	0.026928455
-0.872	0.1977974263	0.1977974263	0.1977974263	0.0271691897	0.0271691897	0.0271691897
-0.868	0.1993420792	0.1993420792	0.1993420792	0.0274121519	0.0274121519	0.0274121519
