#GLoBES
#log10E	nue/E	numu/E	numtau/E	nuebar/E	numubar/E	nutaubar/E
-1	0.0043457978	0.0043457978	0	0.0024532499	0.0024532499	0
-0.996	0.0055447407	0.0055447407	0	0.0035607946	0.0035607946	0
-0.992	0.0067547772	0.0067547772	0	0.0046785873	0.0046785873	0
-0.988	0.0079760101	0.0079760101	0	0.0058067228	0.0058067228	0
-0.984	0.0092085429	0.0092085429	0	0.0069452968	0.0069452968	0
-0.98	0.0104524802	0.0104524802	0	0.0080944059	0.0080944059	0
-0.976	0.0117079275	0.0117079275	0	0.0092541476	0.0092541476	0
-0.972	0.0129749913	0.0129749913	0	0.0104246202	0.0104246202	0
-0.968	0.0142537791	0.0142537791	0	0.0116059231	0.0116059231	0
-0.964	0.0155443994	0.0155443994	0	0.0127981564	0.0127981564	0
-0.96	0.0168469616	0.0168469616	0	0.0140014214	0.0140014214	0
-0.956	0.0181615763	0.0181615763	0	0.01521582	0.01521582	0
-0.952	0.019488355	0.019488355	0	0.0164414553	0.0164414553	0
-0.948	0.0208274103	0.0208274103	0	0.0176784313	0.0176784313	0
-0.944	0.0221788556	0.0221788556	0	0.0189268529	0.0189268529	0
-0.94	0.0235428057	0.0235428057	0	0.0201868259	0.0201868259	0
-0.936	0.0249193763	0.0249193763	0	0.0214584574	0.0214584574	0
-0.932	0.0263086841	0.0263086841	0	0.0227418551	0.0227418551	0
-0.928	0.0277108471	0.0277108471	0	0.024037128	0.024037128	0
-0.924	0.0291259841	0.0291259841	0	0.0253443858	0.0253443858	0
-0.92	0.0305542152	0.0305542152	0	0.0266637396	0.0266637396	0
-0.916	0.0319956616	0.0319956616	0	0.0279953012	0.0279953012	0
-0.912	0.0334504455	0.0334504455	0	0.0293391836	0.0293391836	0
-0.908	0.0349186903	0.0349186903	0	0.0306955008	0.0306955008	0
-0.904	0.0364005207	0.0364005207	0	0.0320643678	0.0320643678	0
-0.9	0.0378960622	0.0378960622	0	0.0334459008	0.0334459008	0
-0.896	0.0394054419	0.0394054419	0	0.034840217	0.034840217	0
-0.892	0.0409287876	0.0409287876	0	0.0362474346	0.0362474346	0
-0.888	0.0424662287	0.0424662287	0	0.0376676731	0.0376676731	0
-0.884	0.0440178956	0.0440178956	0	0.0391010528	0.0391010528	0
-0.88	0.0455839199	0.0455839199	0	0.0405476955	0.0405476955	0
-0.876	0.0471644344	0.0471644344	0	0.0420077237	0.0420077237	0
-0.872	0.0487595732	0.0487595732	0	0.0434812615	0.0434812615	0
-0.868	0.0503694717	0.0503694717	0	0.0449684337	0.0449684337	0
-0.864	0.0519942663	0.0519942663	0	0.0464693665	0.0464693665	0
-0.86	0.0536340951	0.0536340951	0	0.0479841874	0.0479841874	0
-0.856	0.0552890969	0.0552890969	0	0.0495130246	0.0495130246	0
-0.852	0.0569594123	0.0569594123	0	0.0510560081	0.0510560081	0
-0.848	0.058645183	0.058645183	0	0.0526132686	0.0526132686	0
